date;valuation;cashIn;cashOut
2017-08-03;403 471,31;0,00;0,00
2017-08-04;404 481,71;0,00;0,00
2017-08-05;401 948,51;0,00;0,00
2017-08-06;401 948,51;0,00;0,00
2017-08-07;401 948,51;0,00;0,00
2017-08-08;400 342,91;0,00;0,00
2017-08-09;399 911,51;0,00;0,00
2017-08-10;399 746,51;0,00;0,00
2017-08-11;399 558,71;0,00;0,00
2017-08-12;401 103,71;0,00;0,00
2017-08-13;401 103,71;0,00;0,00
2017-08-14;401 103,71;0,00;0,00
2017-08-15;398 773,91;0,00;0,00
2017-08-16;399 539,51;0,00;0,00
2017-08-17;397 892,51;0,00;0,00
2017-08-18;395 473,91;0,00;0,00
2017-08-19;396 147,11;0,00;0,00
2017-08-20;396 147,11;0,00;0,00
2017-08-21;396 147,11;0,00;0,00
2017-08-22;394 825,31;0,00;0,00
2017-08-23;394 217,51;0,00;0,00
2017-08-24;394 767,11;0,00;0,00
2017-08-25;394 818,11;0,00;0,00
2017-08-26;394 865,51;0,00;0,00
2017-08-27;394 865,51;0,00;0,00
2017-08-28;394 865,51;0,00;0,00
2017-08-29;391 261,31;0,00;0,00
2017-08-30;391 171,91;0,00;0,00
2017-08-31;392 319,32;0,00;0,00
2017-09-01;391 208,12;0,00;0,00
2017-09-02;388 269,92;0,00;0,00
2017-09-03;388 269,92;0,00;0,00
2017-09-04;388 269,92;0,00;0,00
2017-09-05;386 625,92;0,00;0,00
2017-09-06;387 037,52;0,00;0,00
2017-09-07;383 967,92;0,00;0,00
2017-09-08;382 782,32;0,00;0,00
2017-09-09;381 915,32;0,00;0,00
2017-09-10;381 915,32;0,00;0,00
2017-09-11;381 915,32;0,00;0,00
2017-09-12;382 952,12;0,00;0,00
2017-09-13;383 529,32;0,00;0,00
2017-09-14;385 943,12;0,00;0,00
2017-09-15;386 559,32;0,00;0,00
2017-09-16;385 137,32;0,00;0,00
2017-09-17;385 137,32;0,00;0,00
2017-09-18;385 137,32;0,00;0,00
2017-09-19;385 680,92;0,00;0,00
2017-09-20;388 531,52;0,00;0,00
2017-09-21;388 709,72;0,00;0,00
2017-09-22;389 280,92;0,00;0,00
2017-09-23;385 851,92;0,00;0,00
2017-09-24;385 851,92;0,00;0,00
2017-09-25;385 851,92;0,00;0,00
2017-09-26;385 331,72;0,00;0,00
2017-09-27;385 047,32;0,00;0,00
2017-09-28;387 996,92;0,00;0,00
2017-09-29;390 436,77;0,00;0,00
